LAD_code,Local_Authority,Total_Population,Percent_65plus,Care_Homes_Count,Care_Homes_per_10k,%_CQC_Outstanding,%_CQC_Good,%_CQC_RequiresImprovement,%_CQC_Inadequate,%_CQC_NotRated,GDHI_per_head_2022,House_Price_Growth_%,Investment_Potential_Score,High_Investment_Potential
E06000001,Hartlepool,95366.0,20.04,27.0,2.8311977014869028,0.0,92.59,7.41,0.0,0,17992,8.374594444482074,2.450128266343553,0
E06000002,Middlesbrough,152650.0,16.62,50.0,3.2754667540124465,4.0,80.0,12.0,4.0,0,16670,-9.674160434762411,-0.6717200955887357,0
E06000003,Redcar and Cleveland,137938.0,23.83,46.0,3.334831591004654,0.0,89.13,10.87,0.0,0,17686,14.423000817877211,5.977374943119997,1
E06000004,Stockton-on-Tees,202415.0,19.42,64.0,3.1618210112886893,4.69,87.5,7.81,0.0,0,18608,-1.4823135874584987,-0.1416052451713207,0
E06000005,Darlington,110562.0,21.0,33.0,2.9847506376512727,6.06,72.73,15.15,6.06,0,19056,-12.458833032995711,1.5014043373987618,0
E06000006,Halton,129587.0,19.16,28.0,2.1607105651029808,0.0,60.71,32.14,7.14,0,19124,35.85389751983733,18.73118096472478,1
E06000007,Warrington,212389.0,19.66,56.0,2.6366713907029085,3.57,80.36,14.29,1.79,0,22152,19.24724741556581,8.089612562496887,1
E06000008,Blackburn with Darwen,157503.0,14.54,38.0,2.4126524574135098,0.0,71.05,26.32,2.63,0,15884,-17.224618777772115,0.7583431741689979,0
E06000009,Blackpool,142708.0,20.64,70.0,4.905120946267903,8.7,68.12,23.19,0.0,0,17413,4.998380654215697,6.27831330549411,1
E06000010,"Kingston upon Hull, City of",271942.0,15.56,78.0,2.8682586728052306,0.0,71.79,28.21,0.0,0,15818,0.1523314627117638,5.194021666598725,0
E06000011,East Riding of Yorkshire,350119.0,26.85,143.0,4.084325615005184,7.69,64.34,26.57,1.4,0,21547,9.444608157534365,10.92485088163437,1
E06000012,North East Lincolnshire,158335.0,21.43,55.0,3.4736476458142547,9.09,78.18,12.73,0.0,0,18139,4.55634424864803,3.102983209034143,0
E06000013,North Lincolnshire,170087.0,22.68,63.0,3.703986783234462,9.52,66.67,23.81,0.0,0,18195,7.695764946689554,7.545789254157558,1
E06000014,York,206780.0,19.28,41.0,1.9827836347809265,5.0,72.5,22.5,0.0,0,21981,30.55332847796417,12.552899664708182,1
E06000016,Leicester,379780.0,11.97,112.0,2.949075780715151,0.89,75.0,24.11,0.0,0,15075,9.424978680749838,5.240856037294733,0
E06000017,Rutland,40643.0,26.32,12.0,2.9525379524149296,0.0,75.0,25.0,0.0,0,28090,19.29780518356385,13.5608319887532,1
E06000021,Stoke-on-Trent,263157.0,17.3,83.0,3.1540107236364605,2.41,72.29,25.3,0.0,0,15900,4.551967129947093,5.7905933910322425,0
E06000022,Bath and North East Somerset,199818.0,19.24,53.0,2.6524136964637823,0.0,81.13,18.87,0.0,0,24779,16.858455355834888,8.80032589342829,1
E06000023,"Bristol, City of",482998.0,12.77,94.0,1.9461778309641036,4.26,92.55,3.19,0.0,0,22465,5.794732736525389,-0.9531401412240365,0
E06000024,North Somerset,221146.0,24.15,117.0,5.29062248469337,0.0,83.48,14.78,1.74,0,24330,9.787190388114285,7.883390969732575,1
E06000025,South Gloucestershire,299439.0,18.73,87.0,2.905433160009217,12.79,75.58,11.63,0.0,0,23233,2.1558863839963656,1.9917365700004737,0
E06000027,Torbay,139485.0,27.18,94.0,6.739075886296018,4.3,76.34,19.35,0.0,0,19990,11.099844389237507,9.17032248025378,1
E06000030,Swindon,238417.0,16.28,56.0,2.34882579681818,8.93,76.79,14.29,0.0,0,20370,16.60032102728732,5.467404126344558,0
E06000032,Luton,231028.0,11.64,41.0,1.774676662569039,4.88,56.1,39.02,0.0,0,17944,10.227780993475058,9.88674674775412,1
E06000033,Southend-on-Sea,182271.0,19.32,95.0,5.21201946552112,2.11,82.11,15.79,0.0,0,22919,8.451734510212196,5.793086547381216,1
E06000034,Thurrock,178201.0,13.64,29.0,1.6273758284184712,3.45,72.41,24.14,0.0,0,21329,-2.7873237935217947,3.226125425882322,0
E06000035,Medway,286800.0,16.57,75.0,2.615062761506276,1.33,64.0,24.0,10.67,0,21277,-5.244884719181673,6.749588234430523,1
E06000036,Bracknell Forest,128351.0,15.75,17.0,1.324492991873846,11.76,47.06,41.18,0.0,0,24923,-2.798881252932281,8.940903635548006,1
E06000037,West Berkshire,163367.0,20.11,41.0,2.5096867788476254,2.44,87.8,9.76,0.0,0,28281,7.241697322233656,4.262527347385556,0
E06000038,Reading,178196.0,12.2,31.0,1.739657455835148,6.45,67.74,25.81,0.0,0,22779,11.703699244801268,7.074223429575589,1
E06000039,Slough,160713.0,9.97,14.0,0.8711180800557515,0.0,64.29,35.71,0.0,0,19590,-6.329168835675864,4.692375503089396,0
E06000040,Windsor and Maidenhead,155239.0,18.92,43.0,2.7699225065866178,16.28,58.14,25.58,0.0,0,34929,6.875775074845611,8.963782144699394,1
E06000041,Wokingham,183870.0,17.37,47.0,2.556153804318268,10.64,72.34,14.89,2.13,0,28641,1.4129920478654394,3.949321082614098,0
E06000042,Milton Keynes,298270.0,14.15,51.0,1.709860193784155,3.92,80.39,11.76,3.92,0,22330,6.001135619577672,3.152762933962041,0
E06000043,Brighton and Hove,279637.0,14.23,98.0,3.5045433901808414,4.08,79.59,16.33,0.0,0,26461,-1.8916757599990544,2.27441256852736,0
E06000044,Portsmouth,210297.0,15.0,35.0,1.6643128527748852,0.0,74.29,25.71,0.0,0,19388,3.4934710582732413,5.494214692484542,0
E06000045,Southampton,256110.0,13.7,64.0,2.49892624263012,1.56,78.12,17.19,3.12,0,18758,5.443305798531778,3.9903653860274617,0
E06000046,Isle of Wight,140906.0,29.84,68.0,4.82591231033455,2.94,92.65,1.47,2.94,0,20749,16.464558390363283,6.5883764441410015,1
E06000047,County Durham,532182.0,21.7,153.0,2.874956311938397,7.24,82.24,9.21,1.32,0,17904,-24.715533474898837,-4.841039921933949,0
E06000049,Cheshire East,412458.0,22.5,101.0,2.448734174146216,2.97,72.28,20.79,3.96,0,25982,12.54287279057885,10.301828323766644,1
E06000050,Cheshire West and Chester,365061.0,21.61,78.0,2.1366292208699367,0.0,69.23,23.08,7.69,0,22376,-1.2049034996854286,8.009168508209134,1
E06000051,Shropshire,329260.0,26.17,113.0,3.431938285853125,4.42,70.8,22.12,2.65,0,21441,14.341756494080226,11.069879866398027,1
E06000052,Cornwall,578324.0,25.77,221.0,3.821387319218984,2.73,75.0,18.64,3.64,0,21235,14.934838554277963,10.481167736452338,1
E06000053,Isles of Scilly,2229.0,27.14,1.0,4.486316733961417,0.0,0.0,100.0,0.0,0,24821,22.163928013553623,36.72207951348262,1
E06000054,Wiltshire,517979.0,22.64,185.0,3.5715733649433665,1.62,78.38,20.0,0.0,0,24212,3.321910132082452,6.5770135377621175,1
E06000055,Bedford,189891.0,17.23,93.0,4.897546487195285,5.38,67.74,24.73,2.15,0,22414,-3.187814463440887,5.402278357219071,0
E06000056,Central Bedfordshire,308302.0,18.14,62.0,2.011015173433841,4.84,69.35,20.97,4.84,0,23579,4.267132664646551,6.941285442176714,1
E06000057,Northumberland,327055.0,26.29,109.0,3.332772775221293,3.67,79.82,16.51,0.0,0,21359,2.799829005876924,5.745723167752425,0
E06000058,"Bournemouth, Christchurch and Poole",404050.0,21.81,177.0,4.380645959658458,5.14,91.43,3.43,0.0,0,23108,2.630982308138854,1.0055424709834817,0
E06000059,Dorset,384809.0,30.39,132.0,3.430273200470883,4.55,80.3,13.64,1.52,0,24156,6.098347331346519,7.579527812907262,1
E06000060,Buckinghamshire,566694.0,19.06,131.0,2.311653202610227,4.58,62.6,29.77,3.05,0,30659,6.009805098214643,10.830049254945196,1
E06000061,North Northamptonshire,367991.0,18.37,126.0,3.423996782530008,4.76,73.81,18.25,3.17,0,20629,-26.16006336423893,-2.150566323680231,0
E06000062,West Northamptonshire,434349.0,17.39,114.0,2.6246175310637296,10.71,57.14,30.36,1.79,0,22575,39.90390020126562,17.212917679975966,1
E06000062,West Northamptonshire,434349.0,17.39,114.0,2.6246175310637296,10.71,57.14,30.36,1.79,0,22575,-41.70292050549361,-3.1887874967138425,0
E07000008,Cambridge,149963.0,11.43,13.0,0.8668804971893067,0.0,92.31,0.0,7.69,0,23855,-11.927899729330372,-4.109192857754199,0
E07000009,East Cambridgeshire,91466.0,21.11,22.0,2.4052653444995955,9.09,81.82,9.09,0.0,0,25083,7.182423875337261,3.468845770509253,0
E07000010,Fenland,103537.0,23.39,30.0,2.8975148980557672,3.33,83.33,13.33,0.0,0,19121,3.856994697311855,3.948025909036328,0
E07000011,Huntingdonshire,186066.0,20.52,31.0,1.6660754785936174,3.23,80.65,16.13,0.0,0,22317,3.026656610766028,4.160625474480549,0
E07000012,South Cambridgeshire,168541.0,19.78,33.0,1.957980550726529,15.15,84.85,0.0,0.0,0,29050,4.737847829345056,0.0231590399452432,0
E07000032,Amber Valley,127709.0,23.04,44.0,3.4453327486708063,4.55,77.27,18.18,0.0,0,20715,16.780198548111557,8.80559954932851,1
E07000033,Bolsover,82829.0,20.56,29.0,3.5011891970203672,0.0,89.66,10.34,0.0,0,17866,32.22839465105449,9.504177042316677,1
E07000034,Chesterfield,104883.0,22.19,47.0,4.481183795276642,6.38,70.21,23.4,0.0,0,18333,16.340838275203538,9.75683713809238,1
E07000035,Derbyshire Dales,71530.0,29.09,20.0,2.796029637914162,5.0,90.0,5.0,0.0,0,26870,10.300682147160032,5.547574982477133,0
E07000036,Erewash,113844.0,20.96,37.0,3.2500614876497664,0.0,70.27,29.73,0.0,0,19431,16.396662482463263,11.66032484376328,1
E07000037,High Peak,91569.0,22.61,26.0,2.8393888761480417,7.69,42.31,50.0,0.0,0,21573,18.23413150274913,18.48839120710949,1
E07000038,North East Derbyshire,105035.0,24.83,27.0,2.570571714190508,0.0,66.67,33.33,0.0,0,20421,5.581361561651244,11.050576147541385,1
E07000039,South Derbyshire,114050.0,18.65,32.0,2.8057869355545817,3.12,84.38,12.5,0.0,0,21190,16.268526236607233,5.922999599484996,1
E07000040,East Devon,156167.0,29.91,75.0,4.802551115152369,18.67,68.0,13.33,0.0,0,23635,12.78259695826917,8.004281906840149,1
E07000041,Exeter,137050.0,16.27,34.0,2.4808464064210143,11.76,82.35,5.88,0.0,0,18724,2.046294604584487,-1.0631993878907249,0
E07000042,Mid Devon,84148.0,24.62,31.0,3.683985359129153,9.68,70.97,19.35,0.0,0,22116,9.242111785304122,7.656525750195404,1
E07000043,North Devon,100543.0,26.18,29.0,2.8843380444188056,6.9,72.41,20.69,0.0,0,21259,21.316817244673896,11.357705017831297,1
E07000044,South Hams,90842.0,28.75,34.0,3.742762158472953,0.0,70.59,29.41,0.0,0,26872,12.516821767724078,13.731919765701964,1
E07000045,Teignbridge,137074.0,27.59,70.0,5.10673067102441,5.71,88.57,2.86,2.86,0,22824,8.353259353738832,4.605924439088371,0
E07000046,Torridge,68830.0,29.34,33.0,4.79442103733837,0.0,90.91,9.09,0.0,0,20407,13.299435712219958,7.167072083655745,1
E07000047,West Devon,58754.0,29.26,24.0,4.084828267011607,8.7,78.26,13.04,0.0,0,21775,10.492464150300613,7.294090277626892,1
E07000061,Eastbourne,103796.0,24.71,68.0,6.551312189294385,7.35,85.29,7.35,0.0,0,21980,24.161727854898373,8.33612879211875,1
E07000062,Hastings,90817.0,20.8,71.0,7.817919552506689,1.41,76.06,22.54,0.0,0,20007,19.21553932154543,10.868122763262363,1
E07000063,Lewes,101356.0,26.94,50.0,4.933107068155807,0.0,76.0,24.0,0.0,0,25890,12.449907090245595,11.67094283278477,1
E07000064,Rother,94862.0,32.52,69.0,7.273723935822563,0.0,91.3,8.7,0.0,0,24725,18.108847892189598,10.067020563420783,1
E07000065,Wealden,164653.0,26.93,65.0,3.947696063843356,3.08,80.0,16.92,0.0,0,27916,5.869623960051934,7.901460399589486,1
E07000066,Basildon,190544.0,17.08,35.0,1.836846082794525,8.57,71.43,20.0,0.0,0,22236,5.046414082376401,4.714030433013276,0
E07000067,Braintree,159957.0,20.79,62.0,3.876041686203167,1.61,74.19,24.19,0.0,0,23345,-3.556597028374421,5.569006995836871,0
E07000068,Brentwood,78152.0,20.32,23.0,2.9429829051079945,4.35,65.22,30.43,0.0,0,32465,-8.624333485943664,7.146614064280283,1
E07000069,Castle Point,89858.0,25.68,26.0,2.8934541164949144,0.0,69.23,30.77,0.0,0,23389,10.520609931418068,12.223520600328753,1
E07000070,Chelmsford,185278.0,19.41,31.0,1.673161411500556,6.45,74.19,19.35,0.0,0,25662,-7.228839277411938,2.629064392372099,0
E07000071,Colchester,196998.0,17.9,75.0,3.807145250205586,1.33,70.67,20.0,8.0,0,21583,5.848804361036428,8.079222877789944,1
E07000072,Epping Forest,135975.0,19.97,23.0,1.69148740577312,0.0,73.91,26.09,0.0,0,33619,13.55146239734722,11.503938710202773,1
E07000073,Harlow,96040.0,14.55,7.0,0.7288629737609329,0.0,71.43,28.57,0.0,0,19127,-0.3567370152814604,5.097695192243775,0
E07000074,Maldon,68327.0,25.68,22.0,3.219810616593733,4.55,72.73,13.64,9.09,0,25116,8.773882586007945,9.454342238991044,1
E07000075,Rochford,88188.0,23.26,14.0,1.5875175760874494,0.0,64.29,35.71,0.0,0,24217,-7.898214524439341,8.424124005303282,1
E07000076,Tendring,153207.0,29.62,94.0,6.13548989275947,0.0,87.23,10.64,2.13,0,21099,1.0423206486150771,5.581753646067689,0
E07000077,Uttlesford,93594.0,21.1,21.0,2.2437335726649144,0.0,80.95,19.05,0.0,0,29456,3.981608931712166,6.740362268827779,1
E07000078,Cheltenham,120255.0,19.68,35.0,2.9104818926447966,8.57,77.14,14.29,0.0,0,24110,-1.2550828255430146,2.5178015775109657,0
E07000079,Cotswold,91490.0,26.97,19.0,2.0767296972346707,5.26,73.68,21.05,0.0,0,33334,10.129559761948268,10.639499395072267,1
E07000080,Forest of Dean,89104.0,25.33,42.0,4.713593104686658,2.38,88.1,9.52,0.0,0,20545,22.56364570841185,8.499200392805962,1
E07000223,Adur,64687.0,23.98,18.0,2.782630203904957,0.0,94.44,5.56,0.0,0,21774,22.96604714228973,7.088006316158177,1
E07000224,Arun,168008.0,28.82,106.0,6.309223370315698,3.77,76.42,19.81,0.0,0,23068,15.356296917391512,11.20515773489523,1
E07000225,Chichester,128003.0,27.42,50.0,3.906158449411342,2.0,86.0,12.0,0.0,0,29357,1.2452079927468465,5.655775765598413,0
E07000226,Crawley,120545.0,13.61,20.0,1.6591314446887055,5.0,90.0,5.0,0.0,0,19881,-19.18468980932488,-6.912652735627915,0
E07000227,Horsham,149464.0,23.48,39.0,2.6093239843708185,7.89,78.95,7.89,5.26,0,29440,1.0146359865684516,4.482557594297735,0
E07000228,Mid Sussex,157915.0,20.8,53.0,3.356235949719786,9.43,77.36,9.43,3.77,0,28210,10.321534086791182,6.004818914155764,1
E07000229,Worthing,112240.0,22.8,87.0,7.751247327156094,2.3,79.31,18.39,0.0,0,23051,13.497448798809438,9.096699298775771,1
E07000234,Bromsgrove,100679.0,23.0,45.0,4.469651069239861,2.22,80.0,17.78,0.0,0,25342,18.255589952263605,10.00864514845188,1
E07000235,Malvern Hills,81822.0,28.39,35.0,4.277578157463763,2.86,68.57,28.57,0.0,0,24945,16.411141722422983,14.011672154225309,1
E07000236,Redditch,87059.0,19.22,13.0,1.4932402164049667,7.69,84.62,7.69,0.0,0,20555,26.08717766136005,6.556530447800757,1
E07000237,Worcester,105143.0,18.23,21.0,1.9972798950001425,4.76,80.95,14.29,0.0,0,18889,-7.933967070374916,-0.2440497833437085,0
E07000238,Wychavon,136229.0,25.37,38.0,2.789420754758532,5.26,86.84,7.89,0.0,0,24466,10.9167067446553,5.264989799377603,0
E07000239,Wyre Forest,103253.0,25.42,37.0,3.583430989898599,2.7,72.97,24.32,0.0,0,21072,5.7748004603892245,8.659014763582096,1
E07000240,St Albans,148755.0,17.52,35.0,2.3528620886692884,5.71,77.14,11.43,5.71,0,35264,17.404484251679367,9.231150376220237,1
E07000241,Welwyn Hatfield,121749.0,16.07,32.0,2.6283583438056985,0.0,78.12,21.88,0.0,0,25371,4.555059962529364,5.920168742203194,1
E07000242,East Hertfordshire,153391.0,18.88,26.0,1.6950147009928875,0.0,92.31,7.69,0.0,0,29761,-1.094152156370826,1.4718641660562248,0
E07000243,Stevenage,90146.0,15.53,14.0,1.553036185743128,0.0,85.71,14.29,0.0,0,20606,1.517692459336914,1.872778542695697,0
E07000244,East Suffolk,247100.0,28.72,77.0,3.1161473087818696,11.69,76.62,11.69,0.0,0,22763,7.2688468027348945,5.801583797001003,1
E07000245,West Suffolk,186063.0,20.8,39.0,2.096064236307057,15.38,51.28,33.33,0.0,0,21196,-25.62373508079073,1.518875865248376,0
E08000001,Bolton,302383.0,17.12,61.0,2.0173091741268525,6.56,70.49,22.95,0.0,0,17977,12.480361746696746,6.956236812793215,1
E08000002,Bury,195476.0,18.46,54.0,2.76248746649205,5.56,85.19,7.41,1.85,0,20278,18.542611266473315,5.205725936592135,0
E08000003,Manchester,579917.0,9.34,85.0,1.4657269919660918,3.53,71.76,21.18,3.53,0,17615,10.262459044662874,4.999223809960631,0
E08000004,Oldham,246130.0,15.92,43.0,1.747044244911226,0.0,81.4,18.6,0.0,0,16499,29.021882295747336,9.552377210673516,1
E08000005,Rochdale,229756.0,16.5,61.0,2.6549905116732537,1.64,63.93,34.43,0.0,0,16872,30.779065076451907,14.995814845863965,1
E08000006,Salford,284106.0,12.85,44.0,1.5487177321140702,0.0,79.55,20.45,0.0,0,19395,6.471814689507167,4.107011332193903,0
E08000007,Stockport,299545.0,20.21,70.0,2.336877597689829,1.43,70.0,28.57,0.0,0,23192,7.205442965043243,9.182692380914286,1
E08000008,Tameside,234666.0,17.71,43.0,1.832391569294231,2.33,55.81,37.21,4.65,0,17472,24.82248098598505,15.970278981890395,1
E08000009,Trafford,237480.0,17.72,57.0,2.4002021222839818,10.53,77.19,12.28,0.0,0,25802,-0.9151124665068396,1.5890522017158863,0
E08000010,Wigan,339174.0,19.31,53.0,1.5626197762800214,5.66,88.68,5.66,0.0,0,17798,2.218987252196241,-0.2986602205089355,0
E08000011,Knowsley,159243.0,17.31,30.0,1.883913264633296,3.33,83.33,13.33,0.0,0,17832,37.757990159774494,10.55788452963862,1
E08000012,Liverpool,503740.0,15.26,94.0,1.8660420057966407,1.06,61.7,30.85,6.38,0,17408,6.493555562902334,9.44649519159508,1
E08000013,St. Helens,185982.0,20.65,42.0,2.258283059650934,2.38,85.71,9.52,2.38,0,18157,25.610391257285976,8.079390273269134,1
E08000014,Sefton,282745.0,23.63,121.0,4.279474438097933,2.48,78.51,19.01,0.0,0,20208,4.757526423672911,6.349002771632917,1
E08000015,Wirral,324852.0,22.42,120.0,3.693989878467733,0.0,62.5,31.67,5.83,0,20043,12.186234068922143,13.462106999000696,1
E08000016,Barnsley,248449.0,19.96,86.0,3.461474990843191,3.49,73.26,18.6,4.65,0,18427,14.95594979483466,8.812758697335143,1
E08000017,Doncaster,314176.0,19.62,93.0,2.9601242615603995,2.17,76.09,18.48,3.26,0,18280,12.89576340379207,7.728459490182077,1
E08000018,Rotherham,271195.0,19.75,102.0,3.7611312892936817,6.93,73.27,19.8,0.0,0,17739,22.647939395314022,9.41800454222256,1
E08000019,Sheffield,573252.0,16.85,133.0,2.320096571839261,0.75,83.46,13.53,2.26,0,17955,27.60677324267917,8.854957796445683,1
E08000021,Newcastle upon Tyne,311976.0,14.93,79.0,2.532246070210529,7.69,73.08,19.23,0.0,0,18136,-7.706612137348008,0.2905838761945771,0
E08000022,North Tyneside,211769.0,21.09,45.0,2.12495691059598,2.22,77.78,15.56,4.44,0,19171,8.24645866123507,6.417508201898165,1
E08000023,South Tyneside,149270.0,21.33,37.0,2.478729818449789,2.7,86.49,10.81,0.0,0,17654,-31.38321009134406,-6.385393050068547,0
E08000024,Sunderland,281058.0,20.85,92.0,3.2733457151192997,6.52,90.22,1.09,2.17,0,17458,-24.28702983571984,-7.097555601662067,0
E08000025,Birmingham,1166049.0,13.1,267.0,2.289783705487505,0.75,71.16,27.34,0.75,0,16950,5.6322229168527285,5.958523285036307,1
E08000026,Coventry,360702.0,14.11,81.0,2.245621038974001,1.25,56.25,42.5,0.0,0,17772,-3.9784677536910937,8.223026217423326,1
E08000027,Dudley,326680.0,20.45,85.0,2.6019346149136773,0.0,64.71,35.29,0.0,0,17644,17.69058225412765,13.159035755768963,1
E08000028,Sandwell,347551.0,14.65,88.0,2.5320024974751907,0.0,71.59,28.41,0.0,0,15305,17.64833755421019,9.273134763173829,1
